ds,prophet_pred,xgb_pred,DATE,y_true
1/1/2019,118855.1072,244236.73,1/1/2019,244239
2/1/2019,118940.8035,252026.03,2/1/2019,252033
3/1/2019,86480.16635,244318.12,3/1/2019,244328
4/1/2019,54303.06654,166986.97,4/1/2019,166975
5/1/2019,-9419.632405,37839.816,5/1/2019,37802
6/1/2019,9200.160799,63061.57,6/1/2019,63072
7/1/2019,47220.92776,115691.96,7/1/2019,115701
8/1/2019,53513.20437,143596.38,8/1/2019,143587
9/1/2019,24143.79217,108584.28,9/1/2019,108575
10/1/2019,23096.1715,118738.74,10/1/2019,118743
11/1/2019,63820.32717,176991.66,11/1/2019,176984
12/1/2019,120247.1611,241641.23,12/1/2019,241663
1/1/2020,148010.3669,228440.23,1/1/2020,228434
2/1/2020,145414.7438,207511.08,2/1/2020,207507
3/1/2020,117292.9327,71388.14,3/1/2020,71370
4/1/2020,57614.79111,19.337183,4/1/2020,0
5/1/2020,42998.02484,5.85344,5/1/2020,0
6/1/2020,40027.12605,-18.666403,6/1/2020,0
7/1/2020,72676.96404,16.95552,7/1/2020,0
8/1/2020,63923.12933,19.618803,8/1/2020,0
9/1/2020,52305.3239,-3.2982936,9/1/2020,0
10/1/2020,57048.12378,-10.508706,10/1/2020,0
11/1/2020,79127.17561,-5.061513,11/1/2020,0
12/1/2020,111025.9004,396.4592,12/1/2020,393
1/1/2021,122899.2787,1684.6235,1/1/2021,1682
2/1/2021,127148.7051,3362.5024,2/1/2021,3366
3/1/2021,127788.3296,4590.564,3/1/2021,4581
4/1/2021,76988.29934,4144.6284,4/1/2021,4168
5/1/2021,46197.35114,1511.1642,5/1/2021,1497
6/1/2021,50676.00085,1617.1987,6/1/2021,1614
7/1/2021,85162.78929,2442.6953,7/1/2021,2429
8/1/2021,81547.09748,5002.4805,8/1/2021,5040
9/1/2021,64016.50802,13543.093,9/1/2021,13547
10/1/2021,66454.66437,22821.602,10/1/2021,22771
11/1/2021,94667.78294,44285.586,11/1/2021,44294
12/1/2021,134904.7646,89486.97,12/1/2021,89506
1/1/2022,152226.3456,82338.86,1/1/2022,82327
2/1/2022,154601.5742,96511.27,2/1/2022,96507
3/1/2022,138413.0236,106471.38,3/1/2022,106500
4/1/2022,96787.74264,62985.965,4/1/2022,62980
5/1/2022,49630.76217,30195.432,5/1/2022,30207
6/1/2022,61311.54952,32884.375,6/1/2022,32856
7/1/2022,97590.85281,47278.293,7/1/2022,47293
8/1/2022,98993.06661,37806.156,8/1/2022,37760
9/1/2022,75546.03165,29802.277,9/1/2022,29802
10/1/2022,76057.95046,41978.57,10/1/2022,42026
11/1/2022,110494.5052,59782.258,11/1/2022,59759
12/1/2022,158915.6548,91973.016,12/1/2022,91961
1/1/2023,181540.4084,102535.016,1/1/2023,102545
2/1/2023,181635.9363,107643.88,2/1/2023,107639
3/1/2023,149184.1794,125493.53,3/1/2023,125495
4/1/2023,117016.9246,105492.46,4/1/2023,105498
5/1/2023,53303.75309,83308.15,5/1/2023,83309
6/1/2023,71933.39128,100372.15,6/1/2023,100388
7/1/2023,109963.6857,143055.31,7/1/2023,143039
8/1/2023,116265.8072,136388.42,8/1/2023,136405
9/1/2023,86906.24005,111956.63,9/1/2023,111938
10/1/2023,85868.14679,109212,10/1/2023,109199
11/1/2023,126602.1474,151468.03,11/1/2023,151496
12/1/2023,183038.5088,210338.27,12/1/2023,210352
1/1/2024,210811.5596,208273.78,1/1/2024,208253
2/1/2024,208225.7815,218334.2,2/1/2024,218350
3/1/2024,180113.1802,209186.52,3/1/2024,209181
4/1/2024,120444.8836,148873.05,4/1/2024,148867
5/1/2024,105837.6448,112126.914,5/1/2024,112128
6/1/2024,102876.591,113509.55,6/1/2024,113470
7/1/2024,135535.9564,187768.7,7/1/2024,187810
8/1/2024,126791.9666,164626.08,8/1/2024,164609
9/1/2024,115184.0061,122139.7,9/1/2024,122140
10/1/2024,119935.2949,135890.36,10/1/2024,135907
11/1/2024,142023.1185,184165.9,11/1/2024,184158
12/1/2024,173930.3322,248602.1,12/1/2024,248592
1/1/2025,185810.9518,252728.56,1/1/2025,252761
2/1/2025,190067.6195,240238.14,2/1/2025,240217
3/1/2025,190712.1343,229294.11,3/1/2025,229298
4/1/2025,139917.5183,174594.6,4/1/2025,174608
5/1/2025,109131.8097,132900.8,5/1/2025,132919
6/1/2025,113615.8441,138232.34,6/1/2025,138241
7/1/2025,148107.8434,200253.81,7/1/2025,200244
8/1/2025,144497.194,198203.44,8/1/2025,198235
9/1/2025,126971.647,158969.6,9/1/2025,158971
