YEAR,MONTH,TOTAL_ARRIVALS
2018,APRIL,180429.0
2018,AUGUST,200359.0
2018,DECEMBER,253169.0
2018,FEBRUARY,235618.0
2018,JANUARY,238924.0
2018,JULY,217829.0
2018,JUNE,146828.0
2018,MARCH,233382.0
2018,MAY,129466.0
2018,NOVEMBER,195582.0
2018,OCTOBER,153123.0
2018,SEPTEMBER,149087.0
2019,APRIL,166975.0
2019,AUGUST,143587.0
2019,DECEMBER,241663.0
2019,FEBRUARY,252033.0
2019,JANUARY,244239.0
2019,JULY,115701.0
2019,JUNE,63072.0
2019,MARCH,244328.0
2019,MAY,37802.0
2019,NOVEMBER,176984.0
2019,OCTOBER,118743.0
2019,SEPTEMBER,108575.0
2020,APRIL,0.0
2020,AUGUST,0.0
2020,DECEMBER,393.0
2020,FEBRUARY,207507.0
2020,JANUARY,228434.0
2020,JULY,0.0
2020,JUNE,0.0
2020,MARCH,71370.0
2020,MAY,0.0
2020,NOVEMBER,0.0
2020,OCTOBER,0.0
2020,SEPTEMBER,0.0
2021,APRIL,4168.0
2021,AUGUST,5040.0
2021,DECEMBER,89506.0
2021,FEBRUARY,3366.0
2021,JANUARY,1682.0
2021,JULY,2429.0
2021,JUNE,1614.0
2021,MARCH,4581.0
2021,MAY,1497.0
2021,NOVEMBER,44294.0
2021,OCTOBER,22771.0
2021,SEPTEMBER,13547.0
2022,APRIL,62980.0
2022,AUGUST,37760.0
2022,DECEMBER,91961.0
2022,FEBRUARY,96507.0
2022,JANUARY,82327.0
2022,JULY,47293.0
2022,JUNE,32856.0
2022,MARCH,106500.0
2022,MAY,30207.0
2022,NOVEMBER,59759.0
2022,OCTOBER,42026.0
2022,SEPTEMBER,29802.0
2023,APRIL,105498.0
2023,AUGUST,136405.0
2023,DECEMBER,210352.0
2023,FEBRUARY,107639.0
2023,JANUARY,102545.0
2023,JULY,143039.0
2023,JUNE,100388.0
2023,MARCH,125495.0
2023,MAY,83309.0
2023,NOVEMBER,151496.0
2023,OCTOBER,109199.0
2023,SEPTEMBER,111938.0
2024,APRIL,148867.0
2024,AUGUST,164609.0
2024,DECEMBER,248592.0
2024,FEBRUARY,218350.0
2024,JANUARY,208253.0
2024,JULY,187810.0
2024,JUNE,113470.0
2024,MARCH,209181.0
2024,MAY,112128.0
2024,NOVEMBER,184158.0
2024,OCTOBER,135907.0
2024,SEPTEMBER,122140.0
2025,APRIL,174608.0
2025,AUGUST,198235.0
2025,DECEMBER,0.0
2025,FEBRUARY,240217.0
2025,JANUARY,252761.0
2025,JULY,200244.0
2025,JUNE,138241.0
2025,MARCH,229298.0
2025,MAY,132919.0
2025,NOVEMBER,0.0
2025,OCTOBER,0.0
2025,SEPTEMBER,158971.0
